team,avg_rank,avg_points
Guyana,151.34615384615384,410.9046153846154
Haiti,92.62962962962963,652.914074074074
Honduras,59.851851851851855,779.2833333333334
Hong Kong,140.37037037037038,472.4940740740741
Hungary,47.18518518518518,863.5592592592592
IR Iran,36.370370370370374,903.314074074074
Iceland,64.07407407407408,785.425925925926
India,131.88888888888889,506.28666666666663
Indonesia,135.8846153846154,468.07230769230773
Iraq,79.66666666666667,694.4933333333333
Israel,58.81481481481482,811.571111111111
Italy,9.5,1201.3075000000001
Jamaica,62.629629629629626,769.8944444444445
Japan,33.333333333333336,930.0470370370371
Jordan,89.96296296296296,659.1792592592593
Kazakhstan,121.88461538461539,515.8015384615385
Kenya,104.77777777777777,598.7081481481482
Kiribati,186.0,1015.3775
Korea DPR,117.92592592592592,556.9981481481482
Korea Republic,40.0,883.8340740740741
Kosovo,125.0,962.626
Kuwait,111.23076923076923,556.1842307692308
Kyrgyz Republic,136.37037037037038,487.8796296296296
Laos,174.22222222222223,356.1381481481481
Latvia,99.11538461538461,602.9607692307692
Lebanon,116.37037037037037,558.8025925925926
Lesotho,144.15384615384616,436.4884615384616
Liberia,127.6923076923077,496.88846153846157
Libya,95.25925925925925,644.6048148148149
Liechtenstein,159.1851851851852,403.72333333333336
Lithuania,102.14814814814815,623.5
Luxembourg,127.25,547.2632142857143
Macau,185.55555555555554,316.7877777777778
Madagascar,127.96296296296296,519.6992592592592
Malawi,109.4074074074074,588.3366666666667
Malaysia,142.0,446.11884615384616
Maldives,153.74074074074073,427.9751851851852
Mali,60.22222222222222,800.8918518518519
Malta,149.14814814814815,444.5025925925926
Martinique,146.0,1095.64
Mauritania,139.07407407407408,475.2922222222222
Mauritius,159.4814814814815,411.0881481481482
Mexico,14.814814814814815,1074.9474074074076
Moldova,122.53846153846153,521.7823076923077
Mongolia,186.30769230769232,286.4838461538462
Montenegro,81.61904761904762,831.0995238095238
Montserrat,190.38709677419354,355.53677419354835
Morocco,44.2962962962963,860.054074074074
Mozambique,108.4074074074074,591.7003703703704
Myanmar,149.55555555555554,441.0403703703704
Namibia,116.55555555555556,558.805925925926
Nauru,187.25,1012.6899999999999
Nepal,168.55555555555554,375.67185185185184
Netherlands,9.357142857142858,1222.535
Netherlands Antilles,164.75,88.5
New Caledonia,148.8181818181818,494.7177272727273
New Zealand,100.81481481481481,620.6648148148148
Nicaragua,153.5,400.37192307692305
Niger,137.34615384615384,459.0203846153846
Nigeria,38.7037037037037,915.0585185185184
North Macedonia,67.85714285714286,1356.6585714285716
Northern Ireland,65.0,806.2381481481482
