Rank,Change,Team,Total_Points,Previous_Points,PlusMinus,Matches,Update_Date
124,21,Kyrgyz Republic,253,178,+75,,2008-09-03
125,6,Bermuda,245,260,-15,,2008-09-03
126,4,Burundi,237,220,+17,,2008-09-03
127,,Chad,236,231,+5,,2008-09-03
128,7,Estonia,234,256,-22,,2008-09-03
129,3,Singapore,229,232,-3,,2008-09-03
130,2,Liechtenstein,225,230,-5,,2008-09-03
131,11,El Salvador,220,257,-37,,2008-09-03
132,15,Indonesia,210,173,+37,,2008-09-03
133,2,Malta,209,204,+5,,2008-09-03
134,,Barbados,202,193,+9,,2008-09-03
135,5,Eritrea,199,190,+9,,2008-09-03
136,2,Yemen,198,191,+7,,2008-09-03
136,7,Montenegro,198,180,+18,,2008-09-03
138,,Azerbaijan,193,191,+2,,2008-09-03
139,3,Grenada,192,192,-,,2008-09-03
140,1,Mauritania,191,184,+7,,2008-09-03
141,8,Swaziland,190,199,-9,,2008-09-03
141,5,Madagascar,190,192,-2,,2008-09-03
143,3,Fiji,185,174,+11,,2008-09-03
144,2,Liberia,183,183,-,,2008-09-03
145,11,Sierra Leone,181,193,-12,,2008-09-03
146,3,Puerto Rico,180,180,-,,2008-09-03
147,3,St. Vincent / Grenadines,173,162,+11,,2008-09-03
147,,Netherlands Antilles,173,173,-,,2008-09-03
147,2,Lebanon,173,172,+1,,2008-09-03
150,1,Vanuatu,171,157,+14,,2008-09-03
151,2,India,166,131,+35,,2008-09-03
152,,Luxembourg,145,149,-4,,2008-09-03
153,24,Solomon Islands,140,225,-85,,2008-09-03
154,2,Tajikistan,136,127,+9,,2008-09-03
155,1,Maldives,133,129,+4,,2008-09-03
156,2,Lesotho,119,122,-3,,2008-09-03
157,4,Seychelles,117,110,+7,,2008-09-03
158,1,Turkmenistan,114,114,-,,2008-09-03
159,1,St. Kitts and Nevis,113,113,-,,2008-09-03
160,3,Myanmar,112,125,-13,,2008-09-03
161,1,St. Lucia,108,108,-,,2008-09-03
161,1,Malaysia,108,108,-,,2008-09-03
163,2,Turks and Caicos Islands,96,96,-,,2008-09-03
164,,Sri Lanka,95,105,-10,,2008-09-03
165,,Bahamas,94,96,-2,,2008-09-03
166,1,Vietnam,92,96,-4,,2008-09-03
167,1,Philippines,89,89,-,,2008-09-03
168,,Pakistan,88,89,-1,,2008-09-03
169,1,Mauritius,82,88,-6,,2008-09-03
170,1,British Virgin Islands,79,79,-,,2008-09-03
171,1,Niger,78,74,+4,,2008-09-03
172,2,Guinea-Bissau,72,72,-,,2008-09-03
173,1,Palestine,71,74,-3,,2008-09-03
173,2,Belize,71,71,-,,2008-09-03
175,1,Chinese Taipei,68,68,-,,2008-09-03
176,1,Dominican Republic,66,66,-,,2008-09-03
177,22,Samoa,64,128,-64,,2008-09-03
177,3,Nepal,64,61,+3,,2008-09-03
179,2,Bangladesh,62,52,+10,,2008-09-03
180,4,Nicaragua,45,45,-,,2008-09-03
181,2,Cambodia,43,50,-7,,2008-09-03
182,3,Afghanistan,40,43,-3,,2008-09-03
182,4,Djibouti,40,40,-,,2008-09-03
184,3,Brunei Darussalam,36,36,-,,2008-09-03
184,3,Cayman Islands,36,36,-,,2008-09-03
186,4,Andorra,33,51,-18,,2008-09-03
187,9,Tahiti,32,64,-32,,2008-09-03
187,3,Bhutan,32,32,-,,2008-09-03
187,9,Tonga,32,64,-32,,2008-09-03
190,1,Laos,27,34,-7,,2008-09-03
191,,Dominica,25,25,-,,2008-09-03
192,,Mongolia,24,24,-,,2008-09-03
193,,Aruba,22,22,-,,2008-09-03
194,,US Virgin Islands,17,17,-,,2008-09-03
195,,Comoros,13,13,-,,2008-09-03
196,1,Macau,11,11,-,,2008-09-03
197,1,Somalia,8,8,-,,2008-09-03
198,2,Faroe Islands,7,12,-5,,2008-09-03
199,,Central African Republic,6,6,-,,2008-09-03
200,,Papua New Guinea,0,0,-,,2008-09-03
200,,San Marino,0,0,-,,2008-09-03
200,,Cook Islands,0,0,-,,2008-09-03
200,,Anguilla,0,0,-,,2008-09-03
200,,Timor-Leste,0,0,-,,2008-09-03
200,,American Samoa,0,0,-,,2008-09-03
200,,Montserrat,0,0,-,,2008-09-03
200,,Guam,0,0,-,,2008-09-03
208,,Sao Tome e Principe,0,0,-,,2008-09-03
