Rank,Change,Team,Total_Points,Previous_Points,PlusMinus,Matches,Update_Date
165,,Suriname,170,169,+1,,2000-09-06
166,2,Laos,169,169,-,,2000-09-06
167,,San Marino,158,161,-3,,2000-09-06
168,,Vanuatu,153,151,+2,,2000-09-06
169,2,Palestine,152,141,+11,,2000-09-06
170,1,Cook Islands,149,147,+2,,2000-09-06
171,1,British Virgin Islands,144,144,-,,2000-09-06
172,,Kyrgyz Republic,138,140,-2,,2000-09-06
173,,Samoa,135,134,+1,,2000-09-06
174,,Guinea-Bissau,129,130,-1,,2000-09-06
175,1,Central African Republic,125,124,+1,,2000-09-06
176,1,Niger,121,125,-4,,2000-09-06
177,,Macau,116,116,-,,2000-09-06
178,,Sao Tome e Principe,112,112,-,,2000-09-06
179,1,Bahamas,108,106,+2,,2000-09-06
180,1,Cambodia,108,110,-2,,2000-09-06
181,2,Guyana,105,98,+7,,2000-09-06
182,1,Philippines,103,104,-1,,2000-09-06
183,1,Tonga,99,100,-1,,2000-09-06
184,,Aruba,95,94,+1,,2000-09-06
185,,Belize,93,93,-,,2000-09-06
186,,Equatorial Guinea,90,90,-,,2000-09-06
187,1,Seychelles,80,80,-,,2000-09-06
188,1,Pakistan,79,80,-1,,2000-09-06
189,,Nicaragua,71,71,-,,2000-09-06
190,,Papua New Guinea,69,70,-1,,2000-09-06
191,,Djibouti,65,65,-,,2000-09-06
192,,Brunei Darussalam,64,64,-,,2000-09-06
193,,Puerto Rico,57,58,-1,,2000-09-06
194,,Somalia,40,40,-,,2000-09-06
195,,US Virgin Islands,33,33,-,,2000-09-06
196,,Mongolia,32,31,+1,,2000-09-06
197,,Anguilla,31,30,+1,,2000-09-06
198,,Turks and Caicos Islands,22,22,-,,2000-09-06
199,,Bhutan,15,15,-,,2000-09-06
200,,Guam,14,14,-,,2000-09-06
201,,Montserrat,11,11,-,,2000-09-06
202,,American Samoa,8,8,-,,2000-09-06
