Rank,Change,Team,Total_Points,Previous_Points,PlusMinus,Matches,Update_Date
92,1,Zambia,377,376,+1,,2016-09-15
93,8,Haiti,372,349,+23,,2016-09-15
93,5,Sierra Leone,372,381,-9,,2016-09-15
95,15,Latvia,357,338,+19,,2016-09-15
96,8,Mauritania,349,343,+6,,2016-09-15
97,7,Botswana,348,378,-30,,2016-09-15
98,22,Israel,346,471,-125,,2016-09-15
99,28,Malawi,342,286,+56,,2016-09-15
100,9,Togo,334,339,-5,,2016-09-15
100,3,Swaziland,334,344,-10,,2016-09-15
102,5,Nicaragua,330,340,-10,,2016-09-15
103,11,Liberia,329,370,-41,,2016-09-15
103,3,Canada,329,350,-21,,2016-09-15
105,10,Chad,326,326,-,,2016-09-15
105,10,Montenegro,326,365,-39,,2016-09-15
107,14,Rwanda,325,303,+22,,2016-09-15
108,12,Gabon,324,359,-35,,2016-09-15
108,3,Kyrgyz Republic,324,341,-17,,2016-09-15
110,3,Oman,323,340,-17,,2016-09-15
111,24,Faroe Islands,319,254,+65,,2016-09-15
112,10,Armenia,317,348,-31,,2016-09-15
113,3,Zimbabwe,316,338,-22,,2016-09-15
114,24,Dominican Republic,315,243,+72,,2016-09-15
114,9,Syria,315,341,-26,,2016-09-15
116,3,Turkmenistan,312,312,-,,2016-09-15
117,8,Lithuania,311,293,+18,,2016-09-15
118,3,Palestine,302,326,-24,,2016-09-15
118,19,Korea DPR,302,354,-52,,2016-09-15
118,10,Guyana,302,280,+22,,2016-09-15
121, ,Namibia,301,303,-2,,2016-09-15
122,35,Central African Republic,299,386,-87,,2016-09-15
122,11,Niger,299,257,+42,,2016-09-15
122,9,Curacao,299,261,+38,,2016-09-15
125,9,Philippines,297,256,+41,,2016-09-15
126,4,Ethiopia,284,270,+14,,2016-09-15
126, ,Bahrain,284,289,-5,,2016-09-15
128,15,Iraq,279,337,-58,,2016-09-15
129,6,Burundi,278,297,-19,,2016-09-15
130,13,Estonia,274,323,-49,,2016-09-15
131,2,Madagascar,269,273,-4,,2016-09-15
132,8,Tanzania,264,295,-31,,2016-09-15
133,3,Azerbaijan,252,253,-1,,2016-09-15
134,2,Angola,247,259,-12,,2016-09-15
135,6,Sudan,246,231,+15,,2016-09-15
135,15,Thailand,246,305,-59,,2016-09-15
137,19,Georgia,240,318,-78,,2016-09-15
138,24,Puerto Rico,234,332,-98,,2016-09-15
139,12,Cuba,229,205,+24,,2016-09-15
140,3,El Salvador,228,244,-16,,2016-09-15
141,3,Vietnam,225,243,-18,,2016-09-15
142,5,Hong Kong,221,213,+8,,2016-09-15
143,6,Lebanon,218,208,+10,,2016-09-15
144, ,Tajikistan,215,222,-7,,2016-09-15
145, ,Luxembourg,213,219,-6,,2016-09-15
146,8,FYR Macedonia,211,243,-32,,2016-09-15
147,15,Yemen,210,160,+50,,2016-09-15
148,4,India,205,200,+5,,2016-09-15
149,1,Afghanistan,201,206,-5,,2016-09-15
150,4,Lesotho,200,214,-14,,2016-09-15
151,2,Sao Tome e Principe,197,197,-,,2016-09-15
152,3,Comoros,191,191,-,,2016-09-15
153,6,Myanmar,184,167,+17,,2016-09-15
153,11,Mauritius,184,225,-41,,2016-09-15
155,4,Singapore,176,167,+9,,2016-09-15
156,2,Grenada,172,171,+1,,2016-09-15
157,1,Barbados,171,182,-11,,2016-09-15
158,9,Malaysia,158,148,+10,,2016-09-15
159,16,Kuwait,156,223,-67,,2016-09-15
160,12,Aruba,155,209,-54,,2016-09-15
161,4,Moldova,154,151,+3,,2016-09-15
162,2,Papua New Guinea,152,152,-,,2016-09-15
162,1,New Caledonia,152,162,-10,,2016-09-15
164,8,St. Vincent / Grenadines,148,182,-34,,2016-09-15
165,9,Maldives,147,115,+32,,2016-09-15
166, ,Belize,141,150,-9,,2016-09-15
167,14,South Sudan,138,197,-59,,2016-09-15
168,22,Kosovo,135,66,+69,,2016-09-15
169,6,Gambia,129,154,-25,,2016-09-15
170,3,Dominica,124,117,+7,,2016-09-15
171,1,St. Lucia,117,121,-4,,2016-09-15
172,3,Tahiti,116,114,+2,,2016-09-15
173,7,Cambodia,103,100,+3,,2016-09-15
173,6,Vanuatu,103,103,-,,2016-09-15
175,7,Suriname,100,131,-31,,2016-09-15
176, ,Malta,99,109,-10,,2016-09-15
176,1,Laos,99,107,-8,,2016-09-15
178,5,Chinese Taipei,97,85,+12,,2016-09-15
179,8,Fiji,93,82,+11,,2016-09-15
180,11,Guam,91,129,-38,,2016-09-15
181,10,Indonesia,89,65,+24,,2016-09-15
182, ,Liechtenstein,86,89,-3,,2016-09-15
183,3,Timor-Leste,80,84,-4,,2016-09-15
184,4,Bermuda,77,77,-,,2016-09-15
185,2,Bangladesh,75,85,-10,,2016-09-15
186,5,Solomon Islands,74,92,-18,,2016-09-15
186,2,Nepal,74,77,-3,,2016-09-15
188,5,Seychelles,72,85,-13,,2016-09-15
189,3,Bhutan,65,64,+1,,2016-09-15
190,20,American Samoa,64,128,-64,,2016-09-15
190,20,Cook Islands,64,128,-64,,2016-09-15
190,12,Samoa,64,106,-42,,2016-09-15
193, ,Sri Lanka,52,58,-6,,2016-09-15
194, ,Pakistan,46,54,-8,,2016-09-15
195, ,US Virgin Islands,44,44,-,,2016-09-15
195, ,Macau,44,44,-,,2016-09-15
197,1,Brunei Darussalam,33,33,-,,2016-09-15
198,3,Montserrat,30,44,-14,,2016-09-15
199, ,Cayman Islands,21,21,-,,2016-09-15
200, ,Turks and Caicos Islands,20,20,-,,2016-09-15
201,1,San Marino,17,20,-3,,2016-09-15
202, ,Mongolia,13,13,-,,2016-09-15
203, ,Andorra,11,12,-1,,2016-09-15
203,1,British Virgin Islands,11,11,-,,2016-09-15
205, ,Anguilla,0,0,-,,2016-09-15
205, ,Bahamas,0,0,-,,2016-09-15
205, ,Djibouti,0,0,-,,2016-09-15
205, ,Eritrea,0,0,-,,2016-09-15
205, ,Gibraltar,0,0,-,,2016-09-15
205, ,Somalia,0,0,-,,2016-09-15
205, ,Tonga,0,0,-,,2016-09-15
