Rank,Change,Team,Total_Points,Previous_Points,PlusMinus,Matches,Update_Date
144,9,Lebanon,159,173,-14,,2007-09-19
145,6,India,156,99,+57,,2007-09-19
146,5,St. Kitts and Nevis,146,148,-2,,2007-09-19
147,44,Samoa,142,14,+128,,2007-09-19
148,4,Myanmar,137,98,+39,,2007-09-19
149,2,Swaziland,130,113,+17,,2007-09-19
149,4,Kyrgyz Republic,130,97,+33,,2007-09-19
151,6,Tajikistan,127,116,+11,,2007-09-19
152,6,Niger,125,115,+10,,2007-09-19
153,10,Lesotho,124,131,-7,,2007-09-19
154,7,Seychelles,122,113,+9,,2007-09-19
155,11,Mauritius,118,123,-5,,2007-09-19
156,7,New Zealand,111,111,-,,2007-09-19
157,15,Palestine,98,143,-45,,2007-09-19
158,4,Nicaragua,96,96,-,,2007-09-19
159,4,Chinese Taipei,95,95,-,,2007-09-19
159,3,Malaysia,95,91,+4,,2007-09-19
161,19,Tahiti,94,30,+64,,2007-09-19
162,6,Grenada,90,91,-1,,2007-09-19
163,5,St. Lucia,87,87,-,,2007-09-19
164,1,Madagascar,86,82,+4,,2007-09-19
165,7,Maldives,85,87,-2,,2007-09-19
166,6,Sri Lanka,78,85,-7,,2007-09-19
167,25,Tonga,77,13,+64,,2007-09-19
168,19,Bahamas,68,111,-43,,2007-09-19
169,8,Andorra,60,84,-24,,2007-09-19
170,5,Laos,58,71,-13,,2007-09-19
170,1,Philippines,58,58,-,,2007-09-19
172,8,Sierra Leone,51,81,-30,,2007-09-19
172,1,Brunei Darussalam,51,51,-,,2007-09-19
174,2,Turkmenistan,48,50,-2,,2007-09-19
175,1,Bangladesh,46,42,+4,,2007-09-19
176,2,Luxembourg,44,44,-,,2007-09-19
176,2,Mongolia,44,44,-,,2007-09-19
178,5,Cambodia,41,48,-7,,2007-09-19
179,1,Pakistan,33,35,-2,,2007-09-19
179,,British Virgin Islands,33,33,-,,2007-09-19
181,15,Turks and Caicos Islands,32,64,-32,,2007-09-19
182,2,Papua New Guinea,30,30,-,,2007-09-19
182,5,Netherlands Antilles,30,41,-11,,2007-09-19
184,2,Comoros,26,26,-,,2007-09-19
185,2,Nepal,24,24,-,,2007-09-19
186,13,Montenegro,21,0,+21,,2007-09-19
186,2,Dominica,21,21,-,,2007-09-19
186,13,Montenegro,21,0,+21,,2007-09-19
188,3,Cayman Islands,20,20,-,,2007-09-19
188,3,Macau,20,20,-,,2007-09-19
188,3,Central African Republic,20,20,-,,2007-09-19
191,3,Guinea-Bissau,18,18,-,,2007-09-19
191,3,Afghanistan,18,18,-,,2007-09-19
193,3,Faroe Islands,17,17,-,,2007-09-19
194,2,Somalia,13,13,-,,2007-09-19
195,1,Puerto Rico,10,10,-,,2007-09-19
196,1,San Marino,6,6,-,,2007-09-19
197,1,Anguilla,4,4,-,,2007-09-19
197,1,Bhutan,4,4,-,,2007-09-19
199,1,Cook Islands,2,2,-,,2007-09-19
200,1,Djibouti,0,0,-,,2007-09-19
200,1,Aruba,0,0,-,,2007-09-19
200,1,US Virgin Islands,0,0,-,,2007-09-19
200,1,Guam,0,0,-,,2007-09-19
200,1,American Samoa,0,0,-,,2007-09-19
200,1,Timor-Leste,0,0,-,,2007-09-19
200,1,Belize,0,0,-,,2007-09-19
200,1,Sao Tome e Principe,0,0,-,,2007-09-19
200,1,Montserrat,0,0,-,,2007-09-19
