,home_team,away_team,home_win,year
22118,Macau,Oman,-1,2002
22119,Brazil,Peru,1,2002
22120,DR Congo,Uganda,-1,2002
22121,Japan,Oman,-1,2002
22122,Macau,Nepal,1,2002
22123,Mexico,Peru,1,2002
22124,Namibia,Malawi,1,2002
22125,New Zealand,Australia,-1,2002
22126,Bolivia,Brazil,-1,2002
22127,Cambodia,Uzbekistan,-1,2002
22128,El Salvador,United States,-1,2002
22129,Jamaica,Cuba,1,2002
22130,Kazakhstan,Iraq,1,2002
22131,Jersey,Frøya,1,2002
22132,Gibraltar,Guernsey,-1,2002
22133,Ynys Môn,Hitra,1,2002
22134,Shetland,Isle of Wight,-1,2002
22135,Jersey,Greenland,1,2002
22136,Frøya,Guernsey,-1,2002
22137,Ynys Môn,Shetland,1,2002
22138,Hitra,Isle of Wight,-1,2002
22139,Guernsey,Greenland,-1,2002
22140,Frøya,Gibraltar,-1,2002
22141,Barbados,Trinidad and Tobago,-1,2002
22142,Gibraltar,Greenland,1,2002
22143,Jersey,Guernsey,1,2002
22144,Frøya,Greenland,1,2002
22145,Jersey,Gibraltar,1,2002
22146,Ynys Môn,Isle of Wight,-1,2002
22147,Shetland,Hitra,1,2002
22148,Frøya,Hitra,1,2002
22149,Shetland,Gibraltar,1,2002
22150,Isle of Wight,Guernsey,1,2002
22151,Jersey,Ynys Môn,1,2002
22152,Jamaica,Grenada,-1,2002
22153,Martinique,Trinidad and Tobago,1,2002
22154,Chile,Colombia,1,2002
22155,Tanzania,Zambia,-1,2002
22156,Tunisia,Mali,1,2002
22157,Australia,New Zealand,1,2002
22158,Antigua and Barbuda,Grenada,-1,2002
22159,Malawi,Botswana,-1,2002
22160,Paraguay,Argentina,-1,2002
22161,Peru,Bolivia,1,2002
22162,Saint Kitts and Nevis,Martinique,1,2002
22163,Venezuela,Ecuador,-1,2002
22164,Antigua and Barbuda,Jamaica,-1,2002
22165,Saint Kitts and Nevis,Trinidad and Tobago,-1,2002
22166,Lithuania,Estonia,1,2002
22167,Estonia,Latvia,-1,2002
22168,Saint Kitts and Nevis,Grenada,1,2002
22169,Trinidad and Tobago,Jamaica,-1,2002
22170,Lithuania,Latvia,1,2002
22171,Zambia,Malawi,1,2002
22172,Algeria,Mali,1,2002
22173,Benin,Ivory Coast,-1,2002
