,home_team,away_team,home_win,year
332,Sweden,Senegal,-1,2006
333,Spain,Republic of Ireland,-1,2006
334,Germany,Paraguay,1,2006
335,Denmark,England,-1,2006
336,Tunisia,Japan,-1,2006
337,Belgium,Russia,1,2006
338,Portugal,Korea Republic,-1,2006
339,Poland,United States,1,2006
340,Costa Rica,Brazil,-1,2006
341,Türkiye,China PR,1,2006
342,Mexico,Italy,-1,2006
343,Ecuador,Croatia,1,2006
344,Sweden,Argentina,-1,2006
345,Nigeria,England,-1,2006
346,South Africa,Spain,-1,2006
347,Slovenia,Paraguay,-1,2006
348,Denmark,France,1,2006
349,Senegal,Uruguay,-1,2006
350,Saudi Arabia,Republic of Ireland,-1,2006
351,Cameroon,Germany,-1,2006
352,Korea Republic,United States,-1,2006
353,Tunisia,Belgium,-1,2006
354,Portugal,Poland,1,2006
355,Mexico,Ecuador,1,2006
356,Costa Rica,Türkiye,-1,2006
357,Japan,Russia,1,2006
358,South Africa,Slovenia,1,2006
359,Italy,Croatia,-1,2006
360,Brazil,China PR,1,2006
361,Sweden,Nigeria,1,2006
362,Spain,Paraguay,1,2006
363,Argentina,England,-1,2006
364,Denmark,Senegal,-1,2006
365,Cameroon,Saudi Arabia,1,2006
366,France,Uruguay,-1,2006
367,Russia,Tunisia,1,2006
368,United States,Portugal,1,2006
369,Germany,Republic of Ireland,-1,2006
370,China PR,Costa Rica,-1,2006
371,Japan,Belgium,-1,2006
372,Korea Republic,Poland,1,2006
373,Croatia,Mexico,-1,2006
374,Brazil,Türkiye,1,2006
375,Italy,Ecuador,1,2006
376,Argentina,Nigeria,1,2006
377,Paraguay,South Africa,-1,2006
378,England,Sweden,-1,2006
379,Spain,Slovenia,1,2006
380,Republic of Ireland,Cameroon,-1,2006
381,Uruguay,Denmark,-1,2006
382,Germany,Saudi Arabia,1,2006
383,France,Senegal,-1,2006
384,Brazil,France,-1,2002
385,Netherlands,Croatia,-1,2002
386,France,Croatia,1,2002
387,Brazil,Netherlands,-1,2002
388,Netherlands,Argentina,1,2002
389,Germany,Croatia,-1,2002
390,Italy,France,-1,2002
391,Brazil,Denmark,1,2002
392,Romania,Croatia,-1,2002
393,Argentina,England,-1,2002
394,Germany,Mexico,1,2002
395,Netherlands,FR Yugoslavia,1,2002
396,France,Paraguay,1,2002
397,Nigeria,Denmark,-1,2002
398,Italy,Norway,1,2002
399,Brazil,Chile,1,2002
400,Argentina,Croatia,1,2002
401,Japan,Jamaica,-1,2002
402,Romania,Tunisia,-1,2002
403,Colombia,England,-1,2002
404,Netherlands,Mexico,-1,2002
405,Belgium,Korea Republic,-1,2002
406,United States,FR Yugoslavia,-1,2002
407,Germany,IR Iran,1,2002
408,South Africa,Saudi Arabia,-1,2002
409,France,Denmark,1,2002
410,Spain,Bulgaria,1,2002
411,Nigeria,Paraguay,-1,2002
412,Italy,Austria,1,2002
413,Chile,Cameroon,-1,2002
414,Brazil,Norway,-1,2002
415,Scotland,Morocco,-1,2002
416,Colombia,Tunisia,1,2002
417,Romania,England,1,2002
418,Germany,FR Yugoslavia,-1,2002
419,Argentina,Jamaica,1,2002
420,United States,IR Iran,-1,2002
421,Japan,Croatia,-1,2002
422,Belgium,Mexico,-1,2002
423,Netherlands,Korea Republic,1,2002
424,Nigeria,Bulgaria,1,2002
425,Spain,Paraguay,-1,2002
426,South Africa,Denmark,-1,2002
427,France,Saudi Arabia,1,2002
428,Chile,Austria,-1,2002
429,Italy,Cameroon,1,2002
430,Scotland,Norway,-1,2002
431,Brazil,Morocco,1,2002
432,England,Tunisia,1,2002
433,Romania,Colombia,1,2002
434,Germany,United States,1,2002
435,Argentina,Japan,1,2002
436,FR Yugoslavia,IR Iran,1,2002
437,Jamaica,Croatia,-1,2002
438,Spain,Nigeria,-1,2002
439,Korea Republic,Mexico,-1,2002
440,Netherlands,Belgium,-1,2002
441,Paraguay,Bulgaria,-1,2002
442,Saudi Arabia,Denmark,-1,2002
443,France,South Africa,1,2002
444,Italy,Chile,-1,2002
445,Cameroon,Austria,-1,2002
446,Brazil,Scotland,1,2002
447,Morocco,Norway,-1,2002
