Q_WR,Q_GR,F_Rank,F_Point,F_Rd,F_Pd,Avg_Apps,Avg_Age,Avg_Famous,FS_0,FS_1,FS_2,FS_3,FS_4,FS_5,FS_6,FS_7,FS_8,FS_9,FS_10,FS_11,FS_12,FS_13,Result,home_rate
0.10999999999999999,2.629243597379393,17.33,-116.93000000000006,-19.0,283.57000000000005,0.038459999999999994,0.389999999999997,-2,-4.189999999999998,-6.270000000000003,-6.689999999999998,-4.880000000000003,-4.039999999999992,-4.270000000000003,0.960000000000008,-0.8900000000000006,-2.7299999999999898,-8.04,-1.0,-0.2699999999999996,-4.690000000000005,2.4399999999999977,-1,0.0
0.08999999999999997,0.5373376623376624,-34.66,276.4399999999998,13.01,-433.97999999999996,0.07691999999999999,0.19000000000000128,9,10.939999999999998,11.110000000000007,10.939999999999998,12.200000000000003,12.180000000000007,11.229999999999997,4.530000000000001,5.959999999999994,7.459999999999994,14.199999999999996,6.700000000000003,0.9499999999999993,11.57,10.39,1,1.0
0.10999999999999999,1.4176886792452827,-19.0,200.49,-13.33,103.49000000000001,0.26923,-0.34999999999999787,5,8.149999999999991,9.570000000000007,8.149999999999999,10.189999999999998,11.349999999999994,5.199999999999996,3.0,0.769999999999996,6.849999999999994,6.190000000000005,4.959999999999994,-0.7299999999999969,10.570000000000007,7.880000000000003,1,1.0
0.16000000000000003,0.7483134405812142,-16.33,141.69000000000005,8.590000000000002,-245.6400000000001,0.34614999999999996,0.5,13,7.8799999999999955,11.070000000000007,9.629999999999995,11.899999999999999,9.030000000000001,16.200000000000003,1.5699999999999932,6.230000000000004,-1.0499999999999972,9.100000000000001,0.45000000000000284,-0.7800000000000011,13.429999999999993,5.650000000000006,1,1.0
0.08000000000000007,-0.47579185520362,-6.67,35.700000000000045,0.08000000000000007,-69.63,0.07691999999999999,1.3800000000000026,4,6.959999999999994,7.189999999999991,4.229999999999997,10.04,9.11,8.350000000000001,-2.5,3.230000000000004,7.579999999999998,11.39,-3.539999999999992,0.6300000000000026,7.869999999999997,6.140000000000001,1,1.0
0.030000000000000027,0.9183006535947711,-30.67,190.0999999999999,19.58,-655.98,0.11537999999999998,0.5799999999999983,9,11.169999999999987,12.969999999999999,11.88000000000001,13.890000000000008,12.240000000000009,11.82,4.1299999999999955,1.5400000000000063,2.049999999999997,12.570000000000007,3.5,-0.4499999999999993,12.639999999999993,6.6200000000000045,1,1.0
-0.13,-0.9783434650455929,31.659999999999997,-185.82999999999993,-14.51,438.3399999999999,-0.19230000000000003,0.9299999999999997,-11,-8.460000000000008,-9.149999999999999,-9.420000000000002,-9.679999999999993,-9.460000000000008,-7.669999999999995,0.5499999999999972,-4.640000000000001,-5.3799999999999955,-13.32,-0.2600000000000051,-0.5499999999999972,-8.250000000000007,-5.940000000000005,1,1.0
-0.06,-0.7172364672364682,42.0,-216.71000000000004,16.58,127.96000000000004,-0.7692399999999999,-2.9299999999999997,-5,-6.800000000000011,-3.1499999999999915,0.3200000000000003,-7.619999999999997,-8.670000000000009,3.1199999999999974,2.5400000000000063,-2.1499999999999915,-6.670000000000002,-5.6100000000000065,1.8799999999999955,-3.370000000000001,-5.6200000000000045,-4.410000000000004,-1,0.0
-0.14,-1.3952569169960471,52.0,-338.76,7.33,352.32,-0.34615,-1.620000000000001,-9,-10.25,-7.88000000000001,-6.289999999999999,-14.000000000000007,-12.719999999999999,-9.96,-3.6500000000000057,-6.839999999999989,1.9699999999999989,-8.129999999999995,-4.539999999999992,-1.8000000000000007,-9.850000000000001,-11.219999999999999,1,1.0
0.08999999999999997,0.061231884057970865,17.659999999999997,-116.25,-17.42,307.08000000000004,-0.07692000000000004,-0.1599999999999966,-4,0.1799999999999926,-2.450000000000003,-4.410000000000004,0.9799999999999898,0.46000000000000796,-6.869999999999997,-7.509999999999998,-4.609999999999999,-0.7000000000000028,-1.9399999999999977,-7.769999999999996,2.790000000000001,-2.930000000000007,-2.759999999999998,-1,0.0
-0.030000000000000027,-0.7586805555555558,28.0,-114.0,-6.0,79.33000000000004,-0.23077,0.7699999999999996,-2,-4.550000000000011,-3.4199999999999946,-4.509999999999998,-4.970000000000006,-5.679999999999993,-6.460000000000001,-0.4299999999999926,3.0500000000000043,5.670000000000002,-4.730000000000004,-2.0500000000000114,-4.219999999999999,-4.109999999999999,-2.269999999999996,-1,0.0
-0.25000000000000006,-0.9621913580246915,29.659999999999997,-163.51,6.159999999999998,328.74,-0.038470000000000004,0.379999999999999,-11,-13.739999999999995,-10.399999999999999,-10.010000000000005,-15.010000000000005,-16.71,-16.89,-6.420000000000002,-3.780000000000001,-1.3799999999999955,-15.130000000000003,-10.019999999999996,-5.33,-10.799999999999997,-2.259999999999998,-1,0.0
0.040000000000000036,0.7209405501330965,21.0,-145.4000000000001,-19.33,369.85,0.07691999999999999,2.4299999999999997,-13,-9.909999999999997,-10.859999999999992,-8.36,-12.21,-10.89,-6.510000000000005,0.6800000000000068,-2.5800000000000125,0.13000000000000966,-7.8899999999999935,-1.2999999999999972,-3.910000000000002,-11.009999999999998,-0.21999999999999886,1,1.0
-0.12,0.5241596638655457,25.67,-147.82999999999993,5.0,29.83000000000004,-0.07691999999999999,0.0,-4,-7.319999999999993,-8.549999999999997,-7.490000000000002,-7.780000000000008,-8.469999999999999,-5.939999999999998,0.9100000000000108,-3.1899999999999977,-3.9299999999999926,-10.760000000000005,-2.230000000000004,0.990000000000002,-10.550000000000004,-4.450000000000003,1,1.0
-0.040000000000000036,-0.655188679245283,24.0,-232.48000000000002,2.0,115.18000000000006,-0.30770000000000003,1.3099999999999987,-7,-12.149999999999991,-6.88000000000001,-6.079999999999998,-13.160000000000004,-13.959999999999994,-2.229999999999997,-4.569999999999993,-0.37999999999999545,-6.890000000000001,-4.890000000000008,-5.799999999999997,-7.8000000000000025,-10.070000000000007,-4.909999999999997,1,1.0
-0.06,-0.3397932816537468,53.33,-265.6099999999999,5.66,204.73000000000002,-0.57692,-1.1599999999999966,0,-8.689999999999998,-6.250000000000007,-7.579999999999998,-10.109999999999992,-9.929999999999993,-4.189999999999998,-7.109999999999999,-8.709999999999994,-0.7900000000000063,-10.280000000000001,-5.329999999999998,-1.9600000000000009,-8.310000000000002,-3.8900000000000006,-1,0.0
0.0,-2.4763888888888888,13.340000000000002,-113.49000000000001,-3.91,350.92999999999995,-0.11537999999999998,-0.7699999999999996,-7,-6.809999999999988,-9.11,-7.690000000000005,-9.530000000000001,-8.310000000000002,-11.119999999999997,-4.930000000000007,-2.8500000000000085,-1.3100000000000023,-7.880000000000003,-3.0,0.9799999999999969,-8.629999999999995,-6.980000000000004,-1,0.0
-0.14,-1.6019794980558504,40.33,-167.76,47.67,-253.09000000000003,-0.11539,-0.41999999999999815,-1,-4.969999999999999,-2.539999999999999,-1.7899999999999991,-4.950000000000003,-7.699999999999996,0.6600000000000037,0.14999999999999147,-5.579999999999991,-6.280000000000001,-4.059999999999995,0.09999999999999432,-3.59,-1.8599999999999994,-5.3799999999999955,-1,0.0
0.16000000000000003,0.9199346405228757,-41.0,206.12000000000012,27.75,-360.2099999999999,0.11538,-0.4299999999999997,6,12.780000000000001,9.859999999999992,7.539999999999999,13.719999999999999,14.719999999999992,8.799999999999997,2.8299999999999983,6.0,9.629999999999995,13.11,0.46999999999999886,6.220000000000001,9.389999999999993,5.760000000000005,1,1.0
