년도,팀,영문국가명,예선_승률,예선_골득실률,순위,승점,AvgApps,ball_control,dribbling,composure,reaction,crossing,acceleration,stamina,strength,shot_power,sprint_speed,gk,passing,defending,평균나이,top20소속선수수,rank,total_points,rank_diff,points_diff
2006,체코,Czech Republic,0.63,2.56140350877193,20,3,0.0,68.36,66.55,69.95,67.05,58.95,57.32,68.68,69.41,70.41,75.95,34.27,64.91,54.91,28.87,3,6.0,757.67,-0.67,17.0
2006,폴란드,Poland,0.52,1.7386363636363635,21,3,0.13043,61.05,60.43,63.29,59.67,58.24,60.86,63.19,63.81,61.24,71.67,30.81,58.74,56.48,27.17,2,25.67,659.67,-5.0,60.67
2006,크로아티아,Croatia,0.61,1.9230769230769231,22,2,0.52174,60.86,55.0,66.23,59.59,56.18,56.05,67.59,69.95,67.5,72.09,33.45,56.93,56.25,27.91,1,24.0,664.67,11.67,-27.33
2006,앙골라,Angola,0.39,1.25,23,2,0.0,59.91,54.73,60.5,59.23,53.5,51.59,62.86,64.5,60.68,71.41,28.45,53.32,57.14,26.74,1,77.33,517.0,23.33,-18.33
2006,튀니지,Tunisia,0.56,1.9655172413793105,24,1,0.34783,62.64,56.14,59.45,57.27,48.82,51.68,64.95,62.0,57.14,67.5,27.98,56.27,56.82,27.43,0,33.67,635.33,6.34,21.0
2006,미국,United States,0.66,2.672131147540984,25,1,0.6087,65.39,63.87,71.17,67.87,60.7,58.74,74.96,75.43,70.91,78.74,29.63,62.74,64.0,28.61,2,9.33,738.67,-10.0,96.34
2006,이란,Iran,0.59,2.569230769230769,26,1,0.04348,56.48,58.0,58.33,57.19,58.52,52.33,61.67,63.1,55.71,66.0,31.1,58.64,50.83,27.17,0,28.0,657.0,-16.0,89.33
2006,트리니다드 토바고,Trinidad and Tobago,0.43,1.048,27,1,0.0,50.0,48.33,55.24,57.86,49.81,43.71,61.86,61.62,56.9,63.0,35.5,47.33,47.9,29.7,1,59.67,551.0,24.0,-37.67
2006,사우디아라비아,Saudi Arabia,0.58,2.2051282051282053,28,1,0.52174,55.9,51.9,59.86,57.38,51.38,49.9,63.86,63.14,61.1,70.52,27.0,52.55,58.43,26.96,0,34.67,628.33,-11.0,66.0
2006,일본,Japan,0.64,2.2535211267605635,29,1,0.56522,61.22,59.83,67.65,61.35,59.43,58.83,65.7,64.78,61.91,70.65,30.87,58.04,57.02,27.74,0,19.33,682.67,-23.67,115.0
2006,토고,Togo,0.47,1.3148148148148149,30,0,0.0,51.64,48.32,58.95,57.23,48.91,43.59,61.59,59.14,55.0,66.32,30.27,46.91,48.73,25.96,1,80.0,506.67,-1.67,45.0
2006,코스타리카,Costa Rica,0.35,1.203883495145631,31,0,0.30435,57.78,48.83,63.0,64.57,52.65,49.52,61.57,58.91,63.48,66.74,33.35,52.13,53.74,28.09,0,24.0,674.33,-26.33,131.66
2006,세르비아 몬테네그로,Montenegro,0.42,1.1176470588235294,32,0,0.04348,66.91,62.64,66.5,62.32,54.64,55.91,67.77,72.86,67.5,71.82,31.59,56.52,51.61,28.48,2,45.0,596.33,,
2010,스페인,Spain,0.75,3.9574468085106393,1,18,0.52174,72.17,66.48,76.91,78.52,66.65,75.22,77.0,72.17,65.39,75.26,24.46,71.76,56.54,26.3,9,3.33,1443.67,-1.34,675.34
2010,네덜란드,Netherlands,0.64,2.719298245614035,2,18,0.56522,69.57,61.83,68.26,74.04,62.35,72.04,74.83,70.91,60.74,71.17,25.48,68.48,51.11,28.13,3,4.0,1305.67,-1.0,547.34
2010,독일,Germany,0.63,2.3421052631578947,3,15,0.34783,69.04,65.52,65.43,75.83,60.91,73.3,69.09,70.52,67.35,75.35,23.15,64.89,43.04,25.35,2,3.67,1281.67,-8.33,559.0
2010,우루과이,Uruguay,0.45,1.5,4,11,0.0,64.78,61.35,59.57,64.26,54.22,69.3,67.09,65.13,62.74,68.26,16.61,63.0,46.93,27.09,2,23.0,842.0,1.0,168.67
2010,아르헨티나,Argentina,0.51,1.96,5,12,0.30435,71.35,65.35,69.13,73.65,62.61,73.48,72.96,72.13,68.17,73.74,19.7,69.24,51.15,27.57,7,5.67,1264.67,2.0,497.0
2010,브라질,Brazil,0.52,3.0816326530612246,6,10,0.43478,73.0,70.48,76.87,78.78,62.09,76.87,78.57,75.74,73.7,76.61,24.72,71.52,54.89,29.17,6,3.33,1433.33,2.33,586.0
2010,가나,Ghana,0.46,1.5588235294117647,7,8,0.26087,60.71,56.81,58.29,64.0,50.52,69.38,64.81,61.71,60.86,69.43,15.74,54.31,43.67,24.74,1,32.33,773.67,-38.0,242.34
2010,파라과이,Paraguay,0.4,1.0769230769230769,8,6,0.56522,59.43,53.9,60.0,64.24,56.95,62.1,65.95,68.67,56.76,62.29,25.5,62.4,48.76,28.87,4,26.33,797.67,0.33,134.0
2010,일본,Japan,0.66,2.235294117647059,9,7,0.43478,64.0,60.2,59.7,63.65,56.25,67.55,66.35,65.75,61.95,68.0,17.52,61.5,47.02,28.17,0,36.33,724.0,17.0,41.33
2010,칠레,Chile,0.5,1.2061855670103092,10,6,0.0,61.78,58.91,63.35,67.39,57.43,70.7,69.48,66.65,61.13,71.74,20.7,60.83,44.2,26.43,1,36.0,708.0,-30.67,170.33
2010,포르투갈,Portugal,0.52,2.1166666666666667,11,5,0.26087,71.87,66.35,72.22,73.39,61.52,73.04,74.96,73.26,69.83,74.35,20.3,69.83,55.15,28.22,7,11.33,1056.33,-1.0,341.66
2010,미국,United States,0.56,1.431372549019608,12,5,0.43478,58.96,55.09,63.04,67.52,51.39,67.91,70.74,66.35,61.26,71.65,25.63,58.76,47.87,27.26,2,19.0,886.33,9.67,147.66
2010,잉글랜드,England,0.63,2.5384615384615383,13,5,0.6087,69.87,63.87,75.3,76.87,60.43,73.22,80.26,74.13,64.0,74.48,23.8,67.3,57.22,29.0,13,10.33,1094.33,2.33,356.0
2010,멕시코,Mexico,0.43,2.082474226804124,14,4,0.56522,68.32,63.82,67.32,71.77,61.95,73.86,72.45,67.73,62.14,73.45,20.59,65.82,52.2,27.52,2,20.33,889.33,14.33,141.0
2010,대한민국,South Korea,0.52,1.8405797101449275,15,4,0.56522,59.0,59.52,62.35,66.26,53.26,64.61,65.61,63.78,60.96,64.96,23.24,60.28,49.11,27.48,1,50.0,601.33,20.33,-55.34
2010,슬로바키아,Slovakia,0.39,1.0649350649350648,16,4,0.0,61.43,57.05,58.52,67.57,53.71,68.67,66.05,65.0,60.67,68.67,19.4,58.88,44.5,26.65,1,52.67,608.0,-3.66,44.33
2010,코트디부아르,Ivory Coast,0.57,2.6296296296296298,17,4,0.34783,66.5,61.18,68.55,70.45,59.27,74.73,71.41,70.68,65.14,73.55,19.61,61.95,51.41,27.17,4,23.33,824.0,-33.0,263.33
2010,슬로베니아,Slovenia,0.38,1.2033898305084745,18,4,0.0,57.57,52.62,62.62,64.0,54.1,63.76,65.9,66.86,60.0,65.33,23.55,58.71,50.67,27.17,0,69.33,473.33,25.66,-125.0
2010,스위스,Switzerland,0.46,1.3384615384615384,19,4,0.21739,63.86,55.32,65.59,69.91,53.36,69.14,70.32,72.82,57.77,69.18,22.8,60.2,56.8,27.13,4,33.33,741.67,-10.34,144.0
2010,남아프리카 공화국,South Africa,0.45,1.65,20,4,0.13043,59.68,55.82,56.05,65.77,50.5,64.86,64.73,62.77,52.55,68.18,19.39,56.23,51.39,27.43,0,72.0,443.0,33.0,-172.67
2010,호주,Australia,0.56,2.2363636363636363,21,4,0.43478,63.09,57.64,65.5,66.23,57.41,66.05,72.59,71.09,60.82,67.59,21.84,62.25,53.75,29.13,0,33.67,727.33,-23.33,169.33
2010,뉴질랜드,New Zealand,0.42,1.0,22,3,0.0,49.83,42.13,53.7,54.61,42.13,56.61,65.17,63.0,44.96,59.83,21.93,48.89,43.61,27.91,0,122.33,254.33,33.33,-224.67
2010,세르비아,Serbia,0.42,1.446153846153846,23,3,0.08696,65.27,59.32,63.0,67.55,55.77,71.32,69.64,70.18,62.82,72.64,14.27,60.57,54.93,26.52,3,22.67,846.33,,
2010,덴마크,Denmark,0.47,1.2173913043478262,24,3,0.30435,66.14,58.59,65.91,70.45,57.09,70.55,72.0,71.05,62.68,71.73,20.73,65.59,49.5,28.35,1,26.67,794.0,12.34,82.0
2010,그리스,Greece,0.6,1.417910447761194,25,3,0.0,67.52,64.74,68.17,68.78,62.13,73.7,70.48,72.78,62.78,73.65,20.87,65.78,51.17,28.04,1,15.0,944.0,-5.0,263.67
2010,이탈리아,Italy,0.58,1.7333333333333334,26,2,0.56522,69.96,65.26,77.91,79.39,62.43,75.04,78.17,75.52,67.57,72.61,24.28,69.24,58.98,28.74,1,2.33,1337.67,-9.0,613.34
2010,나이지리아,Nigeria,0.47,1.98,27,1,0.26087,67.86,60.52,62.48,68.29,54.19,72.86,72.0,73.48,66.67,74.19,17.45,60.52,49.81,26.39,0,28.0,810.33,1.67,146.66
2010,알제리,Algeria,0.5,1.1403508771929824,28,1,0.0,63.57,57.83,60.26,63.74,57.57,66.13,65.04,64.48,59.0,67.04,15.43,59.7,52.22,26.74,1,68.33,508.33,-3.67,-19.67
2010,프랑스,France,0.57,1.818181818181818,29,1,0.43478,70.61,63.65,72.96,75.48,61.26,76.0,75.0,70.91,66.91,74.22,23.83,69.24,54.74,28.17,5,9.0,1093.0,5.67,292.67
2010,온두라스,Honduras,0.47,1.3333333333333333,30,1,0.0,61.95,59.82,61.59,62.05,56.0,70.86,66.73,68.14,60.68,72.18,17.48,57.8,54.7,28.35,0,53.67,576.67,10.0,-18.66
2010,카메룬,Cameroon,0.44,1.5625,31,0,0.08696,57.14,53.48,59.81,66.71,48.76,67.52,66.48,68.29,59.86,66.19,22.69,58.17,53.33,25.57,0,22.67,891.33,5.34,193.0
2010,북한,North Korea,0.3,2.3392857142857144,32,0,0.0,58.05,52.48,51.95,63.24,54.81,65.71,65.14,59.76,54.05,68.05,15.02,54.33,48.07,25.91,0,112.33,296.67,8.0,-144.66
2014,독일,Germany,0.6,2.046511627906977,1,19,0.69565,70.52,62.78,60.26,79.52,70.83,68.83,71.17,63.35,56.61,65.96,19.61,64.63,47.42,26.22,5,2.67,1329.33,-1.0,47.66
2014,아르헨티나,Argentina,0.42,2.571428571428572,2,16,0.52174,71.3,65.61,62.74,78.39,70.0,69.26,72.09,67.22,56.52,70.57,18.89,67.59,51.05,28.83,7,6.33,1136.0,0.66,-128.67
2014,네덜란드,Netherlands,0.54,1.864864864864865,3,17,0.47826,69.91,64.7,58.17,75.91,69.48,69.87,71.35,67.0,52.35,70.91,18.24,66.83,49.62,26.43,1,6.33,1224.33,2.33,-81.34
2014,브라질,Brazil,0.58,3.306122448979592,4,11,0.26087,70.13,65.13,61.65,76.52,68.87,70.0,70.39,66.74,54.78,72.87,18.65,68.35,52.97,28.39,0,9.0,1065.0,5.67,-368.33
2014,콜롬비아,Colombia,0.53,1.875,5,12,0.0,64.74,62.65,55.22,72.65,62.52,70.83,70.65,67.17,47.61,67.22,18.85,65.5,50.02,27.43,2,19.67,920.33,-14.0,152.33
2014,벨기에,Belgium,0.61,2.3684210526315788,6,12,0.04348,69.52,64.48,60.57,74.05,70.95,70.33,73.38,61.14,55.71,69.71,16.5,68.67,53.25,25.91,7,26.67,838.0,-34.33,332.0
2014,프랑스,France,0.61,2.288135593220339,7,10,0.17391,69.78,62.74,60.96,76.57,70.52,73.48,69.61,64.52,50.52,69.48,19.65,68.54,55.51,26.83,2,17.33,911.0,8.33,-182.0
2014,코스타리카,Costa Rica,0.42,1.2159090909090908,8,9,0.08696,56.59,53.0,47.14,61.41,55.59,64.27,62.0,65.14,46.05,67.05,20.82,60.7,40.5,27.48,0,52.0,589.67,-4.0,20.67
2014,칠레,Chile,0.47,1.5274725274725274,9,7,0.34783,69.91,65.68,60.45,70.55,66.73,71.23,65.68,73.77,55.27,74.77,15.57,66.91,44.45,28.04,1,14.67,961.0,-21.33,253.0
2014,멕시코,Mexico,0.41,1.885057471264368,10,7,0.47826,66.43,61.74,57.74,69.83,63.52,73.35,66.48,70.3,51.57,73.61,18.78,67.33,47.51,27.17,2,20.67,849.33,0.34,-40.0
2014,스위스,Switzerland,0.57,1.8269230769230769,11,6,0.65217,65.74,59.3,54.26,71.74,66.83,69.96,71.78,63.04,47.83,66.61,18.72,64.24,53.87,26.09,1,17.33,908.33,-16.0,166.66
2014,우루과이,Uruguay,0.48,1.5714285714285714,12,6,0.6087,68.09,60.7,55.91,74.3,68.13,71.04,70.13,68.26,48.7,70.39,17.85,65.26,53.24,28.57,5,5.33,1175.67,-17.67,333.67
2014,그리스,Greece,0.48,1.2727272727272727,13,5,0.34783,65.3,61.0,60.22,69.35,64.65,69.04,71.61,64.61,53.78,65.61,15.04,64.83,49.45,28.52,2,11.33,1005.67,-3.67,61.67
2014,알제리,Algeria,0.64,2.183673469387755,14,4,0.17391,60.96,56.87,53.96,66.3,60.04,66.52,66.13,63.7,46.74,66.39,20.52,62.93,42.08,26.57,0,34.0,700.33,-34.33,192.0
2014,미국,United States,0.57,1.4594594594594594,15,4,0.43478,62.43,59.13,53.13,69.22,64.26,70.87,67.0,62.52,51.43,64.57,18.48,63.96,49.79,27.87,0,25.67,811.33,6.67,-75.0
2014,나이지리아,Nigeria,0.48,1.9814814814814807,16,4,0.26087,60.86,58.05,47.86,63.95,58.86,69.67,70.48,60.57,45.48,62.0,11.74,58.36,44.45,26.0,2,45.67,614.33,17.67,-196.0
2014,에콰도르,Ecuador,0.43,1.3375,17,4,0.26087,59.65,56.0,53.48,62.83,57.43,65.39,64.7,65.74,48.26,64.65,17.57,61.96,42.2,27.78,1,35.33,740.67,-13.0,130.0
2014,포르투갈,Portugal,0.57,2.2131147540983607,18,4,0.47826,67.74,63.22,57.65,75.96,65.04,72.35,72.61,64.57,55.57,70.96,19.41,65.22,49.21,28.48,3,6.67,1139.67,-4.66,83.34
2014,크로아티아,Croatia,0.58,2.36,19,3,0.26087,64.91,60.87,57.83,71.61,64.39,71.0,67.96,66.22,51.13,67.52,14.5,64.17,45.62,27.35,0,9.33,1042.67,1.33,-130.0
2014,보스니아 헤르체고비나,Bosnia and Herzegovina,0.57,1.6666666666666667,20,3,0.0,63.86,60.43,56.67,68.86,62.52,66.67,71.1,63.48,50.86,65.67,15.69,60.81,46.49,27.04,3,23.33,830.0,-30.0,229.0
2014,코트디부아르,Ivory Coast,0.46,1.967741935483871,21,3,0.52174,68.64,66.27,57.64,68.41,66.64,73.05,70.09,70.41,49.59,71.23,14.25,67.34,51.69,28.0,4,17.0,908.0,-6.33,84.0
2014,이탈리아,Italy,0.5,1.4857142857142858,22,3,0.52174,72.39,66.61,61.7,78.65,71.65,70.09,71.43,63.78,52.04,69.09,18.91,69.59,56.5,27.91,1,5.33,1171.67,3.0,-166.0
2014,스페인,Spain,0.59,3.7857142857142856,23,3,1.13043,75.83,69.0,66.52,83.61,75.13,71.48,69.61,69.0,60.74,72.0,19.3,70.43,50.51,28.26,16,1.0,1578.67,-2.33,135.0
2014,러시아,Russia,0.52,2.1,24,2,0.04348,66.26,61.57,60.43,70.87,65.83,68.61,64.48,64.61,54.52,70.65,15.76,67.76,48.95,27.43,0,13.67,970.67,-1.0,-27.0
